index,published,extreme,topic,domain,language,valid,title,description,url,image,archive,content,en,de,la,country,ipcc,continent
bc303a2a762d1ef9548c5e21af83f5e7,2025-12-02T09:38:25Z,Thunderstorm,,www.protothema.gr,el,0.8,Δύο συστήματα καιρού φέρνουν τριήμερο με βροχές και καταιγίδες - Πέμπτη και Παρασκευή οι πιο δύσκολες ημέρες,Προειδοποίηση μετεωρολόγων για ισχυρά φαινόμενα - Ποιες περιοχές θα επηρεαστούν περισσότερο - Δείτε τους χάρτες | Θοδωρής Κολυδάς | Βροχοπτώσεις | Καταιγίδες | Κακοκαιρία | Χαλάζι | Γιώργος Τσατραφύλλιας | Καιρός | Ελλάδα,https://www.protothema.gr/greece/article/1736327/duo-sustimata-kairou-fernoun-triimero-me-vrohes-kai-kataigides-pebti-kai-paraskeui-oi-pio-duskoles-imeres/,https://www.protothema.gr/images/640x360share/jpg/files/2025-11-29/vroxi_dromos_athens.jpg,http://web.archive.org/web/20251202142549/https://www.protothema.gr/greece/article/1736327/duo-sustimata-kairou-fernoun-triimero-me-vrohes-kai-kataigides-pebti-kai-paraskeui-oi-pio-duskoles-imeres/,"Toyota Lexus , Inchcape Hellas, , .",Two weather systems bring three days of rain and storms - Thursday and Friday the roughest days. Meteorologists warn of strong effects - Which areas will be most affected - See the maps | Thodoris Kolidas | Rainfall | Thunderstorms | Bad weather | Hail | Giorgos Tsatrafillias | Weather | Greece,Zwei Wettersysteme bringen drei Tage lang Regen und Stürme – Donnerstag und Freitag sind die härtesten Tage. Meteorologen warnen vor starken Auswirkungen - Welche Gebiete am stärksten betroffen sein werden - Sehen Sie sich die Karten an | Thodoris Kolidas | Niederschlag | Gewitter | Schlechtes Wetter | Hagel | Giorgos Tsatrafillias | Wetter | Griechenland,Duo systemata tempestatum tres dies pluviae et tempestatum afferunt - Iovis et Veneris dies asperrimos. Meteorologi monent effectus fortes - Qui areas maxime afficientur - Vide tabulas | Thodoris Kolidas | Pluvia | Procellae | Bad weather | Ave | Giorgos Tsatrafillias | Tempestas | Graecia,Greece,MED,Europe
bfee42eac694370b73046626565e8593,2025-12-03T07:20:00Z,Thunderstorm,,www.protothema.gr,el,0.9,"Live χάρτης δείχνει πώς θα κινηθεί η κακοκαιρία, προειδοποίηση Μαρουσάκη για αδιάκοπες βροχές, χοντρό χαλάζι και επικίνδυνους κεραυνούς","Σε Θεσσαλία, Κεντρική Μακεδονία και Δωδεκάνησα αναμένονται οι πιο έντονες βροχοπτώσεις, πότε επηρεάζεται η Αττική - Πέμπτη και Παρασκευή οι πιο δύσκολες ημέρες | Καιρός | Κακοκαιρία | Καταιγίδες | Χαλάζι | Κεραυνοί | Ελλάδα",https://www.protothema.gr/greece/article/1736801/live-hartis-deihnei-pos-tha-kinithei-i-kakokairia-proeidopoiisi-marousaki-gia-adiakopes-vrohes/,https://www.protothema.gr/images/640x360share/jpg/files/2025-11-09/xrwma-kairos.jpg,http://web.archive.org/web/20251203090709/https://www.protothema.gr/greece/article/1736801/live-hartis-deihnei-pos-tha-kinithei-i-kakokairia-proeidopoiisi-marousaki-gia-adiakopes-vrohes/,", 
, . « 72 », , . , , , , « ».
, , , . 
« , », , , 78 9 , . , , ,, ,, , , , , ,, , , , .
. , , , , , .
, , , , , , . .
, . . , , , .
. , . , , .
 , 
, , . . , - . ., , . 3 5, 5 6 7 .
12 15… [+392 chars]","Live map shows how the bad weather will move, Marousakis warning for incessant rain, thick hail and dangerous lightning. The heaviest rainfall is expected in Thessaly, Central Macedonia and the Dodecanese, when is Attica affected - Thursday and Friday the hardest days | Weather | Bad weather | Thunderstorms | Hail | Lightning | Greece","Die Live-Karte zeigt, wie sich das schlechte Wetter entwickeln wird. Marousakis warnt vor unaufhörlichem Regen, dichtem Hagel und gefährlichen Blitzen. Die stärksten Regenfälle werden in Thessalien, Zentralmakedonien und auf dem Dodekanes erwartet, während Attika betroffen ist – Donnerstag und Freitag sind die härtesten Tage | Wetter | Schlechtes Wetter | Gewitter | Hagel | Blitz | Griechenland","Tabula viva ostendit quomodo tempestates movebuntur, Marousakis monitus de imbre assiduo, grandine crasso et periculoso fulgure. Gravissimae pluviae in Thessalia, Media Macedonia et Dodecanese exspectantur, cum Attica afficitur - Iovis et Veneris dies durissimi | Tempestas | Bad weather | Procellae | Ave | Lightning | Graecia",Greece,MED,Europe
457035e6afa4caffb09723def4f8f502,2025-12-03T10:41:00Z,Thunderstorm,,www.protothema.gr,el,0.7,"Έκτακτο δελτίο της ΕΜΥ για κακοκαιρία από τη Μακεδονία μέχρι την Κρήτη: Οι κόκκινες περιοχές, προειδοποίηση και για την Αττική",Τριήμερο επικίνδυνων καταιγίδων από αύριο - Οι «κόκκινες» περιοχές | Έκτακτο δελτίο καιρού | Καιρός | Καταιγίδες | Χαλάζι | Υπουργείο Πολιτικής Προστασίας | Ελλάδα,https://www.protothema.gr/greece/article/1736945/ektakto-deltio-tis-emu-gia-kakokairia-apo-ti-makedonia-mehri-tin-kriti-oi-kokkines-periohes/,https://www.protothema.gr/images/640x360share/jpg/files/2025-12-03/vroxi-mak.jpg,http://web.archive.org/web/20251203121029/https://www.protothema.gr/greece/article/1736945/ektakto-deltio-tis-emu-gia-kakokairia-apo-ti-makedonia-mehri-tin-kriti-oi-kokkines-periohes/,". . ( )
. ( . ) 
(05-12-2025) :
. 
. 
. ( ) 
. 
. 
. ( . ) .
( ): - - - , , , , .
(06-12-2025) .
Live , , 
 ., , -. , , .
, 6 7 , .   , .
, . , .
, , .
, .
Live 
: , , , 
, ECMWF I… [+774 chars]","EMY emergency bulletin for bad weather from Macedonia to Crete: The red areas, warning for Attica as well. Three days of dangerous storms from tomorrow - The ""red"" areas | Emergency weather report | Weather | Thunderstorms | Hail | Ministry of Civil Protection | Greece","EMY-Notfallbulletin für schlechtes Wetter von Mazedonien bis Kreta: Die roten Gebiete, Warnung auch für Attika. Ab morgen drei Tage lang gefährliche Unwetter – Die „roten“ Gebiete | Notfallwetterbericht | Wetter | Gewitter | Hagel | Ministerium für Katastrophenschutz | Griechenland","EMY subitis bulletin for tempestatibus ex Macedonia in Cretam: locis rubris, monens etiam Atticam. Tres dies tempestates periculosae a crastino - The ""ruber"" areas | Subitis tempestas fama | Tempestas | Procellae | Ave | Ministerio Civilis Protectionis | Graecia",Greece,MED,Europe
6772dca6a06cc0e9a4498199e0a48fb9,2025-12-03T13:04:37Z,Thunderstorm,,www.protothema.gr,el,0.7,"Χάρτης δείχνει πώς θα κινηθεί η κακοκαιρία με τις ισχυρές καταιγίδες, οι 8 περιοχές που είναι σε κόκκινο συναγερμό","Σε ισχύ το  έκτακτο δελτίο της ΕΜΥ για κακοκαιρία από τη Μακεδονία μέχρι την Κρήτη, προειδοποίηση και για την Αττική - Κρίσιμο το επόμενο 48ωρο | Καιρός | Εκτακτο δελτίο επιδείνωσης καιρού | Καταιγίδες | Χαλάζι | Καιρός αύριο | Κακοκαιρία | Περιοχές | Ελλάδα",https://www.protothema.gr/greece/article/1736989/erhetai-krisimo-48oro-me-ishures-kataigides-se-kokkino-sunagermo-9-periohes-live-i-poreia-tis-kakokairias/,https://www.protothema.gr/images/640x360share/2/jpg/files/2025-10-04/kairos-vroxi_2.jpg,http://web.archive.org/web/20251203135339/https://www.protothema.gr/greece/article/1736989/erhetai-krisimo-48oro-me-ishures-kataigides-se-kokkino-sunagermo-9-periohes-live-i-poreia-tis-kakokairias/,",   (6/12)., , (04-12-2025), (06-12-2025) .
 : 
. , (05-12-2025) 8 9 . : 
:
 (04-12-25) :
. 
. ( , , )
. ( )
. (, )
. ( )
. ( )
. 
. ( )
. ( . ) 
 (05-12-2025) :
. 
. 
. ( ) 
. 
. … [+1128 chars]","Map shows how the bad weather will move with strong storms, the 8 areas that are on red alert. The EMY's emergency bulletin is in effect for bad weather from Macedonia to Crete, warning for Attica as well - Critical in the next 48 hours | Weather | Emergency bulletin of worsening weather | Thunderstorms | Hail | Weather tomorrow | Bad weather | Areas | Greece","Die Karte zeigt, wie sich das schlechte Wetter mit starken Stürmen entwickeln wird, die 8 Gebiete, für die Alarmstufe Rot gilt. Das Notfallbulletin des EMY gilt für schlechtes Wetter von Mazedonien bis Kreta und warnt auch für Attika – Kritisch in den nächsten 48 Stunden | Wetter | Notfallmeldung über sich verschlechterndes Wetter | Gewitter | Hagel | Wetter morgen | Schlechtes Wetter | Bereiche | Griechenland","Tabula ostendit quomodo tempestatibus tempestatibus validis procellis movebuntur, in 8 areis quae rubrae sunt erectae. Subitis bulletin est effectus tempestatibus e Macedonia in Cretam, monens pro Attica tam - Critica in proximis 48 horis | Tempestas | Subitis bulletin de crescente tempestate | Procellae | Ave | Tempestas cras | Bad weather | Areas | Graecia",Greece,MED,Europe
8d5ad451d96fdfd055e15c6fe0f9e3a0,2025-12-03T13:39:11Z,Thunderstorm,,www.newsit.gr,el,0.9,Ακραία κακοκαιρία με χαλάζι και ισχυρές καταιγίδες στην Κεντρική Μακεδονία – «Καμπανάκι» Τσατραφύλλια προς τους αγρότες,"Νέο κύμα κακοκαιρίας «χτυπά» τη χώρα από σήμερα Τετάρτη (03.12.2025), κυρίως στα δυτικά τμήματα, ενώ τα φαινόμενα, με ισχυρές καταιγίδες και χαλάζι, αναμένεται να επιδεινωθούν ... 
To άρθρο Ακραία κακοκαιρία με χαλάζι και ισχυρές καταιγίδες στην Κεντρική Μακε…",https://www.newsit.gr/ellada/akraia-kakokairia-me-xalazi-kai-isxyres-kataigides-stin-kentriki-makedonia-kampanaki-tsatrafyllia-pros-tous-agrotes/4541951/,https://www.newsit.gr/wp-content/uploads/2025/12/trakter-agrotes-vroxi-1-1200x630.jpg,http://web.archive.org/web/20251203135335/https://www.newsit.gr/ellada/akraia-kakokairia-me-xalazi-kai-isxyres-kataigides-stin-kentriki-makedonia-kampanaki-tsatrafyllia-pros-tous-agrotes/4541951/,"«» (03.12.2025), , , , 24, .
, , , , , , , . , «» .
,   . , , , .
, . , , 65 , «» .
 Facebook, «» , . 
«” …»”
 , ( , , , ). » .","Extreme bad weather with hail and strong storms in Central Macedonia - ""Bell"" Tsatraphyllia to farmers. A new wave of bad weather ""hits"" the country from today Wednesday (03.12.2025), mainly in the western parts, while the phenomena, with strong storms and hail, are expected to worsen ... The article Extreme bad weather with hail and strong storms in Central Make...","Extrem schlechtes Wetter mit Hagel und starken Stürmen in Zentralmakedonien – „Glocke“ Tsatraphyllia an Landwirte. Eine neue Unwetterwelle „trifft“ ab heute Mittwoch (03.12.2025) das Land vor allem in den westlichen Teilen, wobei mit einer Verschärfung der Phänomene mit starken Stürmen und Hagel zu rechnen ist... 
Der Artikel Extrem schlechtes Wetter mit Hagel und starken Stürmen in Central Make...","Tempestates extremae cum grandine et validis procellis in Media Macedonia - ""Bell"" Tsatraphyllia agricolae sunt. Nova unda tempestatum ""hits"" patriae ab hodierna die Mercurii (03.12.2025), maxime in partibus occidentalibus, cum phaenomena, cum vehementibus procellis et grandine, exspectantur peiorationem ... Articulus extremae tempestatis cum grandine et validis procellis in Central Fac...",Greece,MED,Europe
5a296509cc6b747d51020800e1307371,2025-12-03T18:20:00Z,Earthquake,,www.protothema.gr,el,0.8,"Κύπρος: Σεισμός 4,1 Ρίχτερ ανοιχτά της Πάφου",Οι σεισμολόγοι αξιολογούν τα στοιχεία από τα δίκτυα καταγραφής για να διαπιστώσουν αν η δόνηση εντάσσεται στη γνωστή σεισμική δραστηριότητα της ευρύτερης περιοχής της Πάφου | Κύπρος | Σεισμός | Ελλάδα,https://www.protothema.gr/greece/article/1737264/kupros-seismos-41-rihter-anoihta-tis-pafou/,https://www.protothema.gr/images/640x360share/jpg/files/2025-12-03/seismos_kypros_xr.jpg,http://web.archive.org/web/20251203185458/https://www.protothema.gr/greece/article/1737264/kupros-seismos-41-rihter-anoihta-tis-pafou/,", Ford Explorer , , SUV , . Ford 0,9%!",Cyprus: 4.1 Richter earthquake off Paphos. Seismologists evaluate the data from the recording networks to determine if the tremor is part of the known seismic activity of the wider Pafos area | Cyprus | Earthquake | Greece,"Zypern: Erdbeben der Stärke 4,1 vor Paphos. Seismologen werten die Daten der Aufzeichnungsnetzwerke aus, um festzustellen, ob das Beben Teil der bekannten seismischen Aktivität im weiteren Gebiet von Pafos ist | Zypern | Erdbeben | Griechenland",Cyprum: 4.1 Turnebus terrae motus Paphi. Seismologi notitias e reticulis actis aestimant ut determinent si tremor est pars notae activitatis seismicae latioris Pafos regionis | Cyprum | Terrae motus | Graecia,Cyprus,MED,Europe
c8184e8f1f12b8a818ffc38d87a31df7,2025-12-03T21:56:00Z,Thunderstorm,,www.protothema.gr,el,0.7,"Προ των πυλών η κακοκαιρία Byron με βροχές, καταιγίδες, χαλάζι και ανέμους έως 9 μποφόρ: Ποιες περιοχές είναι σε «κόκκινο συναγερμό», πότε θα χτυπήσει την Αττική",Από την Πέμπτη μέχρι το πρωί του Σαββάτου τα έντονα καιρικά φαινόμενα - Η Παρασκευή η πιο δύσκολη μέρα για την Αττική - Από τη Δυτική Ελλάδα θα ξεκινήσει η κακοκαιρία και θα επεκταθεί σε όλη τη χώρα | Εθνική Μετεωρολογική Υπηρεσία | Καιρός | Πρόγνωση καιρού |…,https://www.protothema.gr/greece/article/1737358/pro-ton-pulon-i-kakokairia-byron-me-vrohes-kataigides-halazi-kai-anemous-eos-9-bofor-poies-periohes-se-kokkino-sunagermo/,https://www.protothema.gr/images/640x360share/jpg/files/2025-12-03/vroxi-eurokinissi-xrwma.jpg,http://web.archive.org/web/20251203222135/https://www.protothema.gr/greece/article/1737358/pro-ton-pulon-i-kakokairia-byron-me-vrohes-kataigides-halazi-kai-anemous-eos-9-bofor-poies-periohes-se-kokkino-sunagermo/,". . ( )
. ( . ) 
. BYRON (05-12-2025) .
, :
. 
. 
. ( ) 
. 
. 
. ( . ) .
( ): - - - , , , , , . (06-12-2025) .
: 70 
protothema.gr . 
, .
  , 60-70 
« 150 200 », , 60 70 .« , , , , », … [+133 chars]","Bad weather Byron is just around the corner with rain, storms, hail and winds up to 9 Beaufort: Which areas are on ""red alert"", when will it hit Attica. From Thursday to Saturday morning the severe weather phenomena - Friday the most difficult day for Attica - The bad weather will start from Western Greece and will spread throughout the country | National Meteorological Service | Weather | Weather forecast |…","Schlechtes Wetter Byron steht vor der Tür mit Regen, Stürmen, Hagel und Windstärken bis zu 9 Beaufort: In welchen Gebieten herrscht „Alarmstufe Rot“, wann trifft es Attika? Von Donnerstag bis Samstagmorgen die Unwetterphänomene - Freitag der schwierigste Tag für Attika - Das schlechte Wetter beginnt in Westgriechenland und breitet sich im ganzen Land aus | Nationaler Meteorologischer Dienst | Wetter | Wettervorhersage |…","Tempestates Byron iustus circa angulum cum pluviis, procellis, grandibus et ventis usque ad 9. Beaufort: Quae areae in ""rubrum erecti"" sunt, quando Atticam percutiet. A Iovis ad Saturni mane tempestatibus gravibus - Veneris dies difficillimus Atticae - tempestatibus tempestatibus ab occidentali Graecia incipiet et per totam regionem diffundetur | National Meteorological Service | Tempestas | Tempestas praenuntientur |…",Greece,MED,Europe
6f6c56564d379861301a1160545231ce,2025-12-03T23:01:00Z,Fog,,www.dwdl.de,de,0.0,"""Nicht nur sechs Episoden"": Wie HBO Max den Nebel lichten will","Bevor HBO Max im Januar auch in Deutschland startet, stellte der Streaming-Dienst in London sein Programm für 2026 vor. Dass man den strategischen Kurs revidiert hat, wurde dort ebenso offen angesprochen wie der Wunsch nach mehr Procedurals.",https://www.dwdl.de/magazin/104766/nicht_nur_sechs_episoden_wie_hbo_max_den_nebel_lichten_will/,https://www.dwdl.de/images/1764800897_hbo-max-showcase.jpg,http://web.archive.org/web/20251208131201/https://www.dwdl.de/magazin/104766/nicht_nur_sechs_episoden_wie_hbo_max_den_nebel_lichten_will/,"Je länger man Casey Bloys zuhört, desto eher ist man geneigt zu glauben, dass es sich aus deutscher Zuschauersicht tatsächlich gelohnt hat, ein paar Jahre länger auf HBO Max zu warten. Der Wettlauf d… [+5254 chars]","“Not just six episodes”: How HBO Max wants to clear the fog. Before HBO Max launches in Germany in January, the streaming service presented its program for 2026 in London. The fact that the strategic course had been revised was discussed openly there, as was the desire for more procedurals.","""Nicht nur sechs Episoden"": Wie HBO Max den Nebel lichten will. Bevor HBO Max im Januar auch in Deutschland startet, stellte der Streaming-Dienst in London sein Programm für 2026 vor. Dass man den strategischen Kurs revidiert hat, wurde dort ebenso offen angesprochen wie der Wunsch nach mehr Procedurals.","""Non sex tantum narrationes"": Quomodo HBO Max nebulam purgare vult. Ante HBO Max in Germania mense Ianuario movet, profusum munus suum propositum Londinii 2026 obtulit. Quod cursum opportunum recognitum sit, palam ibi disputatum est, ut plurium processuum cupiditas esset.",Germany,WCE,Europe
a798dc527137c606a7c5d9826909e920,2025-12-04T05:19:28Z,Thunderstorm,,www.skai.gr,el,0.8,"Κακοκαιρία Byron: Ισχυρές βροχές, καταιγίδες και χαλάζι - Σε κόκκινο συναγερμό 9 περιφέρειες","Ισχυρές βροχές και καταιγίδες προβλέπονται σε κεντρική Μακεδονία, Ιόνιο, Θεσσαλία, ανατολική Στερεά, Εύβοια, Πελοπόννησο, Κυκλάδες, Κρήτη, ανατολικό Αιγαίο",https://www.skai.gr/news/weather/kakokairia-byron-isxyres-vroxes-kataigides-kai-xalazi,https://cdn.skai.gr/sites/default/files/styles/article_16_9/public/2025-12/kakokairia-eurokin5.jpg?itok=VNHk6JRk,,". , ( ), , , , , .
 5 6 7 8 . 4 5 5 6 7 .
 . 15 , 17 19 , 20 22 .
 :
. 
. ( , , )
. ( )
. ( , )
. ( )
. ( )
. 
. ( )
. ( . ) 
: .
: 4 5 .
: 10 19 .
: .
: 4 6 .
: 07 14 .
, 
: . ( … [+502 chars]","Severe Byron: Heavy rain, thunderstorms and hail - 9 districts on red alert. Heavy rains and storms are predicted in central Macedonia, Ionia, Thessaly, eastern Sterea, Evia, Peloponnese, Cyclades, Crete, eastern Aegean","Schweres Byron: Starker Regen, Gewitter und Hagel – 9 Bezirke in Alarmbereitschaft. Starke Regenfälle und Stürme werden in Zentralmakedonien, Ionien, Thessalien, Ost-Sterea, Euböa, Peloponnes, den Kykladen, Kreta und der östlichen Ägäis vorhergesagt","Gravis Byron: Imber gravis, tonitrua et grando - 9 regiones in rubra erecta. Imbres et imbres praedicuntur in media Macedonia, Ionia, Thessalia, Orientale Sterea, Evia, Peloponnesus, Cyclades, Creta, Aegaeum orientale.",Greece,MED,Europe
754f0fa554f169b71bcfd2fb1441ee23,2025-12-04T07:45:28Z,Thunderstorm,,www.naftemporiki.gr,el,0.8,"Επελαύνει η κακοκαιρία «Byron»: 48 ώρες με επικίνδυνες καταιγίδες – Αττική, Θεσσαλία και 7 ακόμη περιφέρειες στο «κόκκινο»","Σε 48ωρο έντονων και δυνητικά επικίνδυνων φαινομένων έχει εισέλθει η χώρα, καθώς η νέα κακοκαιρία «Byron» πλήττει μεγάλο μέρος της ανατολικής και νότιας Ελλάδας με ισχυρές βροχές, καταιγίδες, χαλάζι και…
Επελαύνει η κακοκαιρία «Byron»: 48 ώρες με επικίνδυνες …",https://www.naftemporiki.gr/society/2042074/epelaynei-i-kakokairia-byron-48-ores-me-epikindynes-kataigides-attiki-thessalia-kai-7-akomi-perifereies-sto-kokkino/,https://www.naftemporiki.gr/wp-content/uploads/2025/12/kakokairia.jpg,,"48 , «Byron» , , .
 «Red Code» , , , 5 5 () .
48 
 , , .
 :
<ul><li> ( )</li><li> ( , , )</li><li> ( ) </li><li> , </li><li> ( )</li><li></li><li></li><li> ( )</li><li> ( ) .</li></ul> , , , .
… [+268 chars]","Bad weather ""Byron"" is advancing: 48 hours with dangerous storms - Attica, Thessaly and 7 more regions in the ""red"". The country has entered 48 hours of intense and potentially dangerous phenomena, as the new bad weather ""Byron"" affects a large part of eastern and southern Greece with heavy rains, storms, hail and...
Bad weather ""Byron"" is advancing: 48 hours with dangerous ...","Schlechtes Wetter „Byron“ rückt vor: 48 Stunden mit gefährlichen Stürmen – Attika, Thessalien und 7 weitere Regionen im „roten Bereich“. Das Land ist in 48 Stunden intensiver und potenziell gefährlicher Phänomene eingetreten, da das neue Unwetter „Byron“ einen großen Teil Ost- und Südgriechenlands mit heftigen Regenfällen, Stürmen, Hagel und... heimgesucht hat. Unwetter „Byron“ breitet sich aus: 48 Stunden gefährliches ...","Tempestas ""Byron"" progreditur: XLVIII horis cum tempestatibus periculosis - Attica, Thessalia et VII regiones in ""rubrum"". Patria XLVIII horas intensa et potentialiter phaenomena periculosa ingressus est, sicut nova tempestatibus ""Byron"" magnam partem Graeciae orientalis et meridionalis afficit magnis imbribus, procellis, grandibus ac...
Tempestas mala ""Byron"" progreditur: 48 horis cum periculosis ...",Greece,MED,Europe
